62->20,100
19->902,100
19->141,100
141->716,100
12->98,100
19->0,99
19->189,99
36->285,99
36->537,99
94->171,99
62->666,98
273->299,98
35->233,96
94->43,96
36->12,94
19->35,94
94->34,91
94->392,91
0->270,90
36->868,89
94->36,88
94->653,88
62->873,86
171->673,83
62->273,78
0->108,78
36->742,77
653->55,75
94->19,64
94->62,45
62->19,40
19->62,27
94->55,22
94->673,19
273->62,19
273->873,14
868->742,13
270->108,12
94->273,12
12->868,11
19->108,10
12->742,10
19->270,8
43->392,8
43->36,8
55->653,8
19->273,7
868->12,6
141->35,5
273->19,5
270->0,5
43->653,5
34->392,5
233->35,5
43->34,5
19->233,4
108->0,3
20->19,3
392->43,3
392->653,3
108->270,2
141->19,2
34->653,2
36->653,2
392->34,2
392->36,2
273->666,1
34->36,1
19->299,1
36->55,1
43->94,1
94->285,1
653->94,1
36->34,1
62->299,1
171->94,1
12->537,1
392->94,1
392->55,1
141->189,1
43->55,1
