edges/dates,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06
NewYork->NewJersey,0, 100, 500, 600, 0, 0, 0
NewYork->Virginia,0, 100, 500, 460, 0, 0, 0
NewYork->Oregon,0, 100, 720, 160, 0, 0, 0
Wisconsin->Illinois,0, 0, 0, 300, 500, 100, 0
California->NewYork,0, 0, 296, 600, 0, 0, 0
NewYork->Connecticut,0, 100, 200, 500, 0, 0, 0
California->Virginia,0, 0, 400, 400, 0, 0, 0
Oregon->Washington,0, 0, 200, 540, 0, 0, 0
Utah->Texas,300, 0, 200, 200, 0, 0, 0
Illinois->Wisconsin,200, 0, 0, 300, 200, 0, 0
California->Wisconsin,0, 100, 100, 400, 100, 0, 0
California->Utah,0, 0, 400, 300, 0, 0, 0
Florida->Minnesota,0, 100, 200, 300, 0, 0, 0
Virginia->Massachusetts,0, 0, 500, 100, 0, 0, 0
Louisiana->Texas,0, 0, 100, 500, 0, 0, 0
California->NewJersey,0, 0, 300, 300, 0, 0, 0
Connecticut->Michigan,0, 0, 500, 100, 0, 0, 0
Pennsylvania->Florida,0, 100, 344, 100, 0, 0, 0
Pennsylvania->NewMexico,0, 0, 422, 100, 0, 0, 0
Utah->Oregon,300, 100, 0, 100, 0, 0, 0
Florida->Michigan,0, 100, 100, 300, 0, 0, 0
California->Washington,0, 100, 0, 400, 0, 0, 0
Utah->Florida,0, 200, 0, 300, 0, 0, 0
Utah->Louisiana,0, 300, 100, 100, 0, 0, 0
Utah->Idaho,0, 100, 0, 400, 0, 0, 0
Utah->Connecticut,0, 0, 400, 100, 0, 0, 0
Utah->Massachusetts,0, 0, 200, 300, 0, 0, 0
Washington->Minnesota,0, 0, 400, 100, 0, 0, 0
California->Connecticut,0, 0, 200, 300, 0, 0, 0
Virginia->Maryland,0, 0, 200, 300, 0, 0, 0
Washington->Illinois,0, 0, 400, 100, 0, 0, 0
Pennsylvania->Wyoming,0, 0, 400, 100, 0, 0, 0
California->Minnesota,0, 0, 0, 400, 100, 0, 0
Connecticut->NewYork,0, 0, 360, 100, 0, 0, 0
Oregon->Utah,100, 0, 340, 0, 0, 0, 0
Oregon->Florida,0, 0, 229, 200, 0, 0, 0
Wisconsin->NewYork,0, 0, 0, 126, 200, 0, 100
Pennsylvania->Maryland,0, 0, 322, 100, 0, 0, 0
NewYork->California,0, 0, 204, 200, 0, 0, 0
Utah->Michigan,100, 0, 200, 100, 0, 0, 0
Pennsylvania->California,0, 200, 200, 0, 0, 0, 0
Florida->Georgia,0, 100, 200, 100, 0, 0, 0
Minnesota->Michigan,0, 100, 100, 200, 0, 0, 0
Maryland->Connecticut,0, 200, 100, 100, 0, 0, 0
Maryland->Texas,0, 200, 200, 0, 0, 0, 0
California->Illinois,0, 100, 100, 200, 0, 0, 0
California->Massachusetts,0, 100, 100, 200, 0, 0, 0
Virginia->Florida,0, 0, 200, 200, 0, 0, 0
California->Ohio,0, 0, 100, 300, 0, 0, 0
California->Oregon,0, 0, 400, 0, 0, 0, 0
Illinois->Florida,0, 0, 100, 200, 100, 0, 0
Wyoming->Michigan,0, 0, 400, 0, 0, 0, 0
Michigan->NewYork,0, 0, 300, 100, 0, 0, 0
Pennsylvania->Michigan,0, 0, 200, 200, 0, 0, 0
NewYork->Maryland,0, 0, 200, 200, 0, 0, 0
California->Florida,0, 0, 0, 400, 0, 0, 0
Florida->Arizona,0, 0, 278, 100, 0, 0, 0
Florida->Pennsylvania,0, 0, 356, 0, 0, 0, 0
NewYork->Arizona,0, 100, 152, 100, 0, 0, 0
NewYork->Florida,0, 0, 249, 100, 0, 0, 0
Virginia->California,0, 0, 48, 300, 0, 0, 0
California->Arizona,0, 0, 148, 200, 0, 0, 0
NewYork->Pennsylvania,0, 100, 111, 100, 0, 0, 0
Utah->California,200, 100, 0, 0, 0, 0, 0
Utah->Wisconsin,200, 0, 100, 0, 0, 0, 0
Illinois->Texas,100, 0, 0, 200, 0, 0, 0
Illinois->Massachusetts,100, 0, 0, 0, 200, 0, 0
Massachusetts->Virginia,100, 0, 100, 100, 0, 0, 0
Utah->Washington,0, 100, 200, 0, 0, 0, 0
Minnesota->Maryland,0, 100, 100, 100, 0, 0, 0
Minnesota->Texas,0, 100, 0, 200, 0, 0, 0
Maryland->NewJersey,0, 200, 0, 100, 0, 0, 0
Utah->Minnesota,0, 100, 100, 100, 0, 0, 0
Virginia->Oregon,0, 0, 100, 200, 0, 0, 0
Virginia->Pennsylvania,0, 0, 100, 200, 0, 0, 0
Arizona->Georgia,0, 0, 100, 200, 0, 0, 0
Washington->Virginia,0, 0, 300, 0, 0, 0, 0
NewYork->Wyoming,0, 0, 200, 100, 0, 0, 0
Louisiana->Utah,0, 0, 100, 200, 0, 0, 0
NorthCarolina->Florida,0, 0, 200, 100, 0, 0, 0
SouthCarolina->Georgia,0, 0, 300, 0, 0, 0, 0
Georgia->Minnesota,0, 0, 200, 100, 0, 0, 0
Idaho->Louisiana,0, 0, 100, 200, 0, 0, 0
California->Wyoming,0, 0, 100, 200, 0, 0, 0
California->Alaska,0, 0, 100, 200, 0, 0, 0
California->Maryland,0, 0, 200, 100, 0, 0, 0
Oregon->California,0, 0, 100, 200, 0, 0, 0
Michigan->Nebraska,0, 0, 100, 200, 0, 0, 0
Michigan->Connecticut,0, 0, 100, 200, 0, 0, 0
Texas->Louisiana,0, 0, 300, 0, 0, 0, 0
NewYork->Wisconsin,0, 0, 100, 200, 0, 0, 0
Utah->Illinois,0, 0, 100, 200, 0, 0, 0
Connecticut->NewMexico,0, 0, 300, 0, 0, 0, 0
Washington->Oregon,0, 0, 200, 100, 0, 0, 0
California->Michigan,0, 0, 100, 200, 0, 0, 0
Massachusetts->NorthCarolina,0, 0, 200, 100, 0, 0, 0
Connecticut->Maryland,0, 0, 300, 0, 0, 0, 0
Massachusetts->Maryland,0, 0, 200, 100, 0, 0, 0
Pennsylvania->NorthCarolina,0, 0, 200, 100, 0, 0, 0
Pennsylvania->Utah,0, 0, 200, 100, 0, 0, 0
Pennsylvania->Nebraska,0, 0, 200, 100, 0, 0, 0
Utah->Alaska,0, 0, 0, 300, 0, 0, 0
Wisconsin->NewJersey,0, 0, 0, 200, 0, 0, 100
Pennsylvania->Wisconsin,0, 0, 0, 300, 0, 0, 0
Arizona->Wisconsin,0, 0, 0, 300, 0, 0, 0
Florida->Maryland,0, 0, 178, 100, 0, 0, 0
NorthCarolina->Massachusetts,0, 0, 200, 74, 0, 0, 0
Florida->NorthCarolina,0, 0, 0, 274, 0, 0, 0
NewYork->Utah,0, 0, 160, 100, 0, 0, 0
Virginia->NewYork,0, 0, 152, 100, 0, 0, 0
Oregon->Virginia,0, 0, 100, 140, 0, 0, 0
Oregon->NewYork,0, 0, 180, 40, 0, 0, 0
Texas->California,100, 0, 100, 0, 0, 0, 0
Utah->Iowa,200, 0, 0, 0, 0, 0, 0
Oregon->Missouri,200, 0, 0, 0, 0, 0, 0
Oregon->Alaska,100, 0, 0, 100, 0, 0, 0
Oregon->Idaho,100, 0, 0, 100, 0, 0, 0
Illinois->Missouri,200, 0, 0, 0, 0, 0, 0
Illinois->Utah,200, 0, 0, 0, 0, 0, 0
Utah->NorthCarolina,100, 0, 0, 100, 0, 0, 0
Illinois->California,100, 0, 0, 0, 100, 0, 0
Missouri->California,100, 100, 0, 0, 0, 0, 0
Missouri->Pennsylvania,100, 0, 100, 0, 0, 0, 0
Missouri->Utah,100, 100, 0, 0, 0, 0, 0
Utah->Virginia,100, 0, 100, 0, 0, 0, 0
Utah->Missouri,0, 200, 0, 0, 0, 0, 0
Maryland->Nebraska,0, 100, 100, 0, 0, 0, 0
Maryland->Michigan,0, 100, 100, 0, 0, 0, 0
Utah->Arizona,0, 100, 100, 0, 0, 0, 0
Utah->Pennsylvania,0, 100, 0, 100, 0, 0, 0
NewYork->Texas,0, 100, 0, 100, 0, 0, 0
Virginia->Minnesota,0, 0, 100, 100, 0, 0, 0
Arizona->Virginia,0, 0, 100, 100, 0, 0, 0
Arizona->Washington,0, 0, 200, 0, 0, 0, 0
Washington->Massachusetts,0, 0, 200, 0, 0, 0, 0
Washington->California,0, 0, 200, 0, 0, 0, 0
