dataset,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1
SIR003_sl1000_mr025_nv10_18,1,1,1,1,1,1
SIR003_sl1000_mr025_nv10_19,0.773,0.708,0.739,0.68,0.708,0.694
SIR003_sl1000_mr025_nv10_2,0.882,0.789,0.833,0.75,0.789,0.769
SIR003_sl1000_mr025_nv10_20,0.667,0.667,0.667,0.667,0.667,0.667
SIR003_sl1000_mr025_nv10_3,1,0.731,0.844,1,0.731,0.844
SIR003_sl1000_mr025_nv10_4,0.875,0.677,0.764,0.71,0.71,0.71
SIR003_sl1000_mr025_nv10_5,0.75,0.857,0.8,0.714,0.714,0.714
SIR003_sl1000_mr025_nv10_6,0.824,0.609,0.7,0.652,0.652,0.652
SIR003_sl1000_mr025_nv10_7,0.643,0.562,0.6,0.625,0.625,0.625
SIR003_sl1000_mr025_nv10_8,0.867,0.867,0.867,0.867,0.867,0.867
SIR003_sl1000_mr025_nv10_9,0.8,0.571,0.667,0.679,0.679,0.679
SIR003_sl1000_mr05_nv10_1,0.786,0.647,0.71,0.706,0.706,0.706
SIR003_sl1000_mr05_nv10_10,0.846,0.846,0.846,0.846,0.846,0.846
SIR003_sl1000_mr05_nv10_11,0.647,0.629,0.638,0.629,0.629,0.629
SIR003_sl1000_mr05_nv10_12,0.88,0.8,0.838,0.836,0.836,0.836
SIR003_sl1000_mr05_nv10_13,0.875,0.75,0.808,0.768,0.768,0.768
SIR003_sl1000_mr05_nv10_14,1,1,1,1,1,1
SIR003_sl1000_mr05_nv10_15,0.923,0.923,0.923,0.923,0.923,0.923
SIR003_sl1000_mr05_nv10_16,0.882,0.6,0.714,0.64,0.64,0.64
