dataset,single,10,20,30,40,50,60,70,80,90,100
AA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
AC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AI,0.167,0.152,0.152,0.159,0.163,0.175,0.179,0.179,0.167,0.167,0.167
AJ,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667,0.667
AQ,0,0,0,0,0,0,0,0,0,0,0
AW,0.057,0.047,0.047,0.057,0.057,0.057,0.059,0.059,0.071,0.071,0.071
BA,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286,0.286
BB,0.286,0.267,0.267,0.267,0.267,0.286,0.231,0.231,0.231,0.273,0.273
BC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BJ,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
