dataset,phylo_prec,phylo_rec,phylo_f1,sharp_prec,sharp_rec,sharp_f1,tnet_prec,tnet_rec,tnet_f1,tnet_bias_prec,tnet_bias_rec,tnet_bias_f1
SEIR015_sl1000_mr0125_nv10,0.967,0.638,0.76,0.872,0.704,0.771,0.889,0.676,0.757,0.889,0.828,0.855
SEIR015_sl1000_mr025_nv10,0.96,0.615,0.725,0.875,0.707,0.769,0.894,0.69,0.761,0.885,0.818,0.839
SEIR015_sl1000_mr025_nv20,0.927,0.616,0.722,0.855,0.738,0.785,0.852,0.734,0.781,0.859,0.84,0.845
SEIR015_sl1000_mr025_nv5,0.945,0.553,0.678,0.844,0.566,0.671,0.84,0.538,0.647,0.866,0.697,0.761
SEIR015_sl1000_mr05_nv10,0.963,0.564,0.693,0.836,0.707,0.759,0.847,0.701,0.756,0.841,0.828,0.829
SEIR015_sl250_mr025_nv10,0.688,0.195,0.291,0.626,0.484,0.535,0.602,0.455,0.51,0.676,0.543,0.584
SEIR015_sl500_mr025_nv10,0.888,0.47,0.601,0.8,0.716,0.752,0.804,0.682,0.731,0.817,0.778,0.795
SEIR01_sl1000_mr0125_nv10,0.957,0.753,0.83,0.935,0.848,0.876,0.922,0.834,0.862,0.905,0.866,0.871
SEIR01_sl1000_mr025_nv10,0.891,0.788,0.836,0.874,0.83,0.85,0.868,0.828,0.846,0.861,0.867,0.864
SEIR01_sl1000_mr025_nv20,0.914,0.717,0.794,0.855,0.858,0.854,0.847,0.852,0.847,0.839,0.87,0.853
SEIR01_sl1000_mr025_nv5,0.901,0.667,0.759,0.901,0.807,0.848,0.904,0.786,0.837,0.878,0.834,0.854
SEIR01_sl1000_mr05_nv10,0.934,0.769,0.839,0.899,0.851,0.873,0.897,0.844,0.868,0.886,0.883,0.883
SEIR01_sl250_mr025_nv10,0.782,0.301,0.424,0.732,0.718,0.723,0.709,0.697,0.698,0.718,0.716,0.714
SEIR01_sl500_mr025_nv10,0.867,0.515,0.629,0.755,0.743,0.744,0.748,0.724,0.731,0.725,0.763,0.742
SIR003_sl1000_mr025_nv10,0.819,0.604,0.689,0.835,0.718,0.767,0.837,0.712,0.765,0.765,0.744,0.753
SIR003_sl1000_mr05_nv10,0.829,0.635,0.716,0.845,0.702,0.76,0.84,0.688,0.749,0.772,0.72,0.742
SIR003_sl1000_mr05_nv20,0.853,0.682,0.753,0.883,0.729,0.792,0.884,0.714,0.784,0.809,0.756,0.775
SIR003_sl1000_mr05_nv5,0.781,0.538,0.634,0.85,0.682,0.747,0.851,0.648,0.727,0.751,0.694,0.719
SIR003_sl1000_mr1_nv10,0.789,0.611,0.685,0.847,0.669,0.742,0.843,0.652,0.73,0.76,0.704,0.726
SIR003_sl250_mr05_nv10,0.839,0.303,0.429,0.68,0.542,0.597,0.658,0.533,0.583,0.662,0.545,0.591
SIR003_sl500_mr05_nv10,0.768,0.508,0.606,0.807,0.678,0.735,0.794,0.655,0.716,0.763,0.676,0.712
SIR01_sl1000_mr075_nv10,0.859,0.61,0.708,0.855,0.704,0.761,0.856,0.696,0.756,0.788,0.754,0.767
SIR01_sl1000_mr15_nv10,0.897,0.594,0.703,0.855,0.703,0.763,0.882,0.675,0.758,0.819,0.728,0.765
SIR01_sl1000_mr15_nv20,0.873,0.632,0.725,0.85,0.708,0.764,0.85,0.696,0.757,0.774,0.728,0.749
SIR01_sl1000_mr15_nv5,0.796,0.515,0.612,0.818,0.594,0.681,0.815,0.584,0.673,0.698,0.621,0.652
SIR01_sl1000_mr3_nv10,0.843,0.609,0.696,0.879,0.658,0.747,0.874,0.647,0.739,0.786,0.698,0.736
SIR01_sl250_mr15_nv10,0.908,0.296,0.431,0.661,0.553,0.597,0.636,0.534,0.573,0.644,0.545,0.583
SIR01_sl500_mr15_nv10,0.866,0.482,0.606,0.818,0.672,0.73,0.806,0.638,0.704,0.772,0.682,0.718
